channelId,title,description,publishedAt,subscriberCount,videoCount,viewCount,competencia_tipo,origin_keywords,occurrences,recurrente
UCfb-LHQIO9Azl4oawTM8opg,VETERINARIO GRATIS,"Conoce ✅ VETERINARIO GRATIS ✅, Online 24 H de perros y gatos, la web de información y consultas veterinarias gratis online cerca de ti, las 24h.
Veterinario Gratis es un proyecto Solidario, donde colgaremos, links de ayuda a asociaciones de protección de los animales que necesiten financiación.

¿Veterinario Gratis está cerca de mi? en Miami, Buenos Aires, Murcia, Houston, Roma o Madrid

El ser un veterinario en línea por internet, nos permite estar cerca de tí. Puedes escribirnos y consultarnos desde cualquier punto del mundo. Ya sea en España, Argentina, Chile, USA, etc. El único condicionante es que nos escribas en Español. Ya que en nuestro equipo somos principalmente castellanohablantes.

Nuestro único afán es ofrecerte una posibilidad de conocer y entender mejor. Lo que le ocurre a tu perro, gato, pájaro etc.. Para eso puedes visitar y seguirnos también nuestro canal de YOUTUBE, donde te explicamos de viva voz, todo lo referente al mundo de los animales.
",2015-07-29T01:34:25Z,1880000,3391,254045075,Indirecta,5 mejores comidas para perros,1,False
UC6IySBNNBxQh_8hVa9z3p0g,ProfecoTV,"¡Bienvenido al canal oficial de la Procuraduría Federal del Consumidor! Aquí encontrarás contenido exclusivo de la Revista del Consumidor, Estudios de Calidad, Platillos sabios, Tecnologías Domésticas, así como cápsulas informativas sobre tendencias de consumo.

¡Recuerda que solo con información, tu consumo será mejor!
",2009-01-16T19:00:31Z,439000,2855,59937770,Indirecta,5 mejores comidas para perros,1,False
UCUPKcE-hwllnKlZIWzprRUQ,El Espacio de Kentuchy,"Bienvenidos al Espacio de Kentuchy

Aquí podrás encontrar recetas de cocina, cápsulas informativas, consejos para mascotas, reseñas de lugares y muchas cosas más... Recuerda suscribirte!

Síguenos en Instagram: www.instagram.com/el_espacio_de_kentuchy/

Síguenos en Facebook: www.facebook.com/El-Espacio-de-Kentuchy-426079964405666/",2017-03-12T07:26:29Z,40900,273,9290763,Indirecta,5 mejores comidas para perros,1,False
UCsCLmDPw0qwGAqZ59hLDL_Q,Vetropía,"Si tienes una mascota, si te interesa la medicina veterinaria, si eres amante de los animales... ¡éste es tu canal!
Yo soy Alba Pérez, veterinaria licenciada, experta en medicina interna y oncología. Aquí os transmitiré todos mis conocimientos para que podáis darle todavía una mejor calidad de vida a vuestro peludos.
A través de mi web puedes realizarme consultas veterinarias gratuitas, de primera opinión, pequeñas (o grandes) dudas, y segundas opiniones (lo más importante).
Prometo no dejaros indiferentes y sobretodo daros información verídica y basada en la evidencia. 
¡Quédate por aquí y pasa un ratito conmigo!",2019-09-04T18:23:32Z,36400,93,2292287,Indirecta,5 mejores comidas para perros,1,False
UCD0GrDqCLHirZmFmmMjBF4A,tkESzone,"Nuestro canal de YouTube se compromete a simplificar tus decisiones de compra. A través de reseñas detalladas, evaluamos los productos más populares en línea, teniendo en cuenta la experiencia de los compradores y analizando cada aspecto cuidadosamente. ¡Suscríbete para mantenerte siempre actualizado sobre las mejores propuestas en el mercado!",2020-11-13T10:12:40.536934Z,14900,3218,5440246,Indirecta,5 mejores comidas para perros,1,False
UCf658e97tQEA_zhXvmhMnSw,Ecomunga,"¡Bienvenido a Ecomunga, nuestro canal de YouTube de los 5 productos más vendidos! Aquí, te ofrecemos una selección de los productos más populares del mercado para que puedas tomar decisiones informadas al momento de comprar.

Nuestro objetivo es proporcionarte información precisa y actualizada acerca de los productos más vendidos en diferentes categorías, incluyendo tecnología, hogar, moda, deportes y mucho más.

Nuestro equipo de expertos investiga y revisa los productos para ofrecerte una evaluación completa y objetiva. También te ofrecemos consejos útiles y recomendaciones para que puedas sacar el máximo provecho de tus compras.

Nos esforzamos por ser un recurso confiable y útil para nuestros espectadores. Si te gusta lo que ofrecemos, ¡asegúrate de suscribirte para que no te pierdas ninguna de nuestras actualizaciones!

¡Gracias por visitar nuestro canal de YouTube!
",2019-04-02T08:59:33Z,12300,51,3911452,Indirecta,5 mejores comidas para perros,1,False
UC5XwSiVCgJLxb1gxg5v-3vQ,Como gato panza arriba,"Canal Oficial de MISCOTA sobre michis 🐈

Somos especialistas en todo tipo de mascotas y grandes catlovers 😻
Igual que para ti, nuestro mayor interés es el bienestar de tu mejor amigo.
En nuestro canal encontrarás los mejores consejos y curiosidades sobre gatos.

¡SUSCRÍBETE para estar al día de todas nuestras novedades!

Si todavía no nos has visitado, encuentra tu MISCOTA más cercano y siéntete como en casa: www.miscota.es/nuestras-tiendas

¡También enviamos online a todo el mundo!
",2014-11-27T08:43:53Z,11300,117,951529,Indirecta,5 mejores comidas para perros,1,False
UCmBpFeQPi5P0XUXK8ufBpIw,Chuchos Selectos,"Hablamos de perros, paseos por la naturaleza, escapadas naturales…en definitiva, mi vida ❤️",2019-03-01T17:04:41Z,11300,533,1096181,Indirecta,5 mejores comidas para perros,1,False
UCbmmPVLSBaaA1FIJ3-voTZQ,Doggy tv,¡Hablemos de perros?! 🐶😄,2025-02-07T18:54:07.106594Z,10900,91,1455421,Indirecta,5 mejores comidas para perros,1,False
UCla_Qv5UPsLjybunudak9Ew,Descubre Productos,"Bienvenido a descubre productos, un canal donde encontrarás una gran variedad de tops de artículos en distintas categorías como hogar, tecnología, electrónicos, entre otras. 

Aviso legal: En calidad de Afiliado de Amazon, obtengo ingresos por las compras adscritas que cumplen los requisitos aplicables. © Todos los derechos reservados por los respectivos propietarios.

",2017-09-27T18:17:25Z,9480,119,3946415,Indirecta,5 mejores comidas para perros,1,False
UCT9Pd4qNehGTikVWOeiR5oQ,FridaPets,"Somos Frida Pets una PetShop en México 🐶😺🐾🛒

...peeero también nos gusta crear contenido sobre tips, recomendaciones, salud y más temas relacionados a lomitos y michis. ¡Esperamos que te sirvan!

",2021-09-27T18:23:48.374704Z,6080,95,1013711,Indirecta,5 mejores comidas para perros,1,False
UCMJUtxHLPfkcJnCWEJpwAHA,PerrosTV 🐶,"Bienvenidos a PerrosTV 🐶 
 
En este canal podrás encontrar todo lo que necesitas saber sobre nuestros amigos peludos de cuatro patas. Desde razas de perros hasta consejos sobre cuidados, entrenamiento y salud, este canal está diseñado para ayudarte a aprender y entender más sobre la maravillosa vida de los perros.

Aquí encontrarás videos detallados sobre diferentes temas, como la elección de la raza de perro adecuada para ti, cómo entrenar a tu perro para que tenga buenos modales, cómo cuidar de la salud de tu perro y cómo hacer que tu perro se divierta con juegos y juguetes. También compartiremos historias inspiradoras sobre perros, como perros rescatados y perros que han superado desafíos.

Mi objetivo es ayudarte a crear un vínculo más fuerte y saludable con tu perro. Espero que disfrutes de los videos, aprendas mucho y te diviertas mientras exploras el mundo de los perros.
",2023-02-23T18:06:33.082167Z,5760,606,1556954,Directa,5 mejores comidas para perros,1,False
UCxQpJVqOBTVkambNd3cFnFw,chemanimals,,2020-11-22T03:05:00.509351Z,4390,2256,821852,Indirecta,5 mejores comidas para perros,1,False
UCZ9WjUhzWk_xI0MDfzCwnjw,JOSMEJIA,"Hola amigos 👋, Yo soy José Alberto Mejía (@josemejioficial) en todas mis redes. Te invito a disfrutar de mi contenido en este canal sobre mascotas, su cuidado y más. Además, temas interesantes que se que te gustarán. 

No olvides suscribirte y recuerda dejar activada la campanita 🔔 para las notificaciones nuevas 😎. ",2018-05-18T18:14:44Z,3050,44,941368,Indirecta,5 mejores comidas para perros,1,False
UCJfoAO1xWx2IU0VrAoCzQRw,El Desván de Berna (El Desván de Berna),"https://www.youtube.com/c/ElDesvándeBerna?sub_confirmation=1


En el Desván de Berna, iremos encontrado diferentes vídeos de entretenimiento con los que podremos aprender diferentes facultades como son trucos de educación o incluso idiomas nuevos, deportes y cosas curiosas sobre los alimentos y la salud, recetas de cocina, manualidades sencillas con elementos reciclados, recetas y vídeos sobre mascotas etc. 
Todo lo podréis encontrar en el Desván de Berna, pero hace falta mucha paciencia para montar los vídeos y subir cosas nuevas cada vez mas innovadoras y sobretodo necesito vuestro apoyo al difundir el canal y consiguiendo suscripciones y visitas para poder crecer todos juntos. 
Así mismo si tenéis cualquier idea de lo que sea, podéis comunicármela ya que intentaré hacer cualquier tipo de sugerencia que se os ocurra. 
Muchas gracias a todos por visitarme! :)",2012-09-22T00:47:24Z,2330,104,376753,Indirecta,5 mejores comidas para perros,1,False
UCSUV5PhPyVKmVK_tunxb2SQ,Agronatura,"Bienvenidos a este nuevo canal de cuidados sobre animales y perros en adopción. 
Nuestra labor es demostrar lo que realmente funciona para la salud de los animales y apoyar a protectoras de animales que buscan hogar.
¿Nos ayudas a ayudarlos? 🙌🏼",2023-11-03T08:29:23.825298Z,1510,28,502772,Indirecta,5 mejores comidas para perros,1,False
UC1nlIZFc3acvDRBaG8y29GQ,Todo para tu perro,,2021-11-11T10:12:39.095837Z,1390,237,343532,Indirecta,5 mejores comidas para perros,1,False
UCrDZ5vRppsEsstjc59ESWMA,6 poodle´s ,comparto videos divertidos de mis mascotas y su comportamiento de mis poodle´s,2023-01-03T21:01:33.721911Z,230,51,76092,Indirecta,5 mejores comidas para perros,1,False
UCluVWwlba1iwVU7ZDfFmIyw,El Hombre Canino,"ARYA MI REINA ES UN CANAL DE UN MESTIZO DE PASTOR BELGA, AQUI TENDRÉIS LA GRAN VIDA DE ARYA LA REINA DE MI CORAZÓN",2018-09-14T07:17:16Z,87,30,29303,Indirecta,5 mejores comidas para perros,1,False
UCkU4r51gTtlYhwGGRz1ciMA,ClickPick Reviews,"Bienvenidos a Click Pick Reviews, tu puerta de entrada al mundo de la tecnología de consumo moderna, los gadgets más innovadores y los equipos imprescindibles. Aquí encontrarás reseñas prácticas y guías de compra completas para mantenerte siempre informado en este entorno digital que avanza a toda velocidad.

Nuestro objetivo es ayudarte a encontrar los dispositivos ideales para el trabajo, el entretenimiento y todo lo que hay entre medio.

En nuestro canal exploramos:
• Equipos para gaming 🎮
• Fotografía y cámaras 📸
• Drones y tecnología aérea 🚁
• Equipamiento para exteriores 🏕
• Computadoras y laptops 💻
• Música y audio 🎧
• Smartphones y tablets 📱
• Realidad virtual, aumentada y wearables 🤖

También descubrirás las últimas innovaciones de Apple, Samsung, DJI, Canon, Sony y muchas otras marcas líderes. Ya seas un gamer apasionado, un fotógrafo aficionado o simplemente alguien que busca las mejores ofertas tecnológicas, aquí estás en el lugar correcto.


",2025-05-19T18:05:43.037143Z,50,43,23567,Indirecta,5 mejores comidas para perros,1,False
